Model,Exam,Query,Tool,Exit,Cardinality,Time,OK
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-05,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-07,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-10,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-11,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-12,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-00,STARMC,0.0,0,5.076,0
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-01,STARMC,0.0,7890709277,5.570,0
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-02,STARMC,0.0,7890709281,26.602,0
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-04,STARMC,0.0,7890709281,4.863,0
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-06,STARMC,0.0,7890709281,27.345,0
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-08,STARMC,0.0,0,5.059,0
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-09,STARMC,0.0,0,4.993,0
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-13,STARMC,0.0,7890709281,33.416,0
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-14,STARMC,0.0,7890709281,6.743,0
